player_id,country,age_group,is_ps5,account_age_months,tier,tenure_months,tier_ordinal,is_paid_subscriber,is_auto_renew,billing_cycle_ordinal,total_sessions,total_play_minutes,avg_session_duration,unique_games_played,days_since_last_session,sessions_30d,play_minutes_30d,sessions_90d,play_minutes_90d,sessions_180d,play_minutes_180d,session_trend_slope,total_spend,spend_dlc_free,spend_dlc_paid,spend_full_game,spend_mtx,n_transactions,avg_transaction_value,days_since_last_purchase,spend_last_90d,total_trophies,n_platinum,n_gold,unique_games_trophied,days_since_last_trophy,trophies_last_90d,n_dlc_free,n_dlc_paid,claimed_valhalla,engagement_recency_ratio,spend_per_session,trophy_per_session,first_party_ratio,target_churn,target_bought_paid_dlc
PSN-00012,US,13-17,0,49.5,Free,49.5,0,False,0,0,134.0,4751.0,35.45522388059702,5.0,0.0,7.0,282.0,19.0,832.0,33.0,1193.0,0.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,4.0,261.0,0.0,0.0,0.0,0.0,0.0522,0.0,0.0448,0.4403,,0
PSN-00013,BR,18-24,0,38.1,Essential,36.5,1,True,0,1,23.0,644.0,28.0,1.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.257,34.99,0.0,0.0,34.99,0.0,1.0,34.99,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,1.0,0
PSN-00014,US,45+,0,79.4,Essential,71.7,1,True,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
PSN-00015,US,18-24,0,41.8,Essential,31.3,1,True,0,3,391.0,27767.0,71.0153452685422,10.0,2.0,21.0,1780.0,55.0,4460.0,97.0,7144.0,1.514,29.99,0.0,29.99,0.0,0.0,1.0,29.99,650.0,0.0,67.0,3.0,4.0,10.0,6.0,9.0,0.0,1.0,0.0,0.0537,0.08,0.1714,0.601,0.0,1
PSN-00016,JP,25-34,1,68.1,Free,68.1,0,False,0,0,80.0,2821.0,35.2625,3.0,2.0,5.0,197.0,13.0,488.0,22.0,795.0,0.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,3.0,119.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.075,0.25,,0
PSN-00017,JP,35-44,0,27.3,Essential,20.4,1,True,1,1,449.0,46469.0,103.49443207126949,16.0,0.0,24.0,3051.0,61.0,6741.0,109.0,10678.0,1.971,307.33,0.0,29.979999999999997,152.47,124.88,20.0,15.366499999999998,62.0,24.99,240.0,12.0,27.0,16.0,1.0,32.0,2.0,2.0,0.0,0.0535,0.68,0.5345,0.5835,0.0,1
PSN-00018,DE,18-24,1,69.9,Essential,60.3,1,True,1,2,109.0,3033.0,27.825688073394495,2.0,0.0,7.0,282.0,16.0,525.0,28.0,821.0,0.514,34.99,0.0,0.0,34.99,0.0,1.0,34.99,126.0,0.0,3.0,0.0,0.0,2.0,84.0,1.0,0.0,0.0,0.0,0.0642,0.32,0.0275,0.0,0.0,0
PSN-00019,JP,35-44,1,78.9,Essential,68.4,1,True,1,3,83.0,2818.0,33.95180722891566,3.0,3.0,5.0,193.0,12.0,407.0,21.0,666.0,0.371,69.98,0.0,0.0,69.98,0.0,2.0,34.99,13.0,34.99,7.0,1.0,2.0,3.0,41.0,2.0,0.0,0.0,0.0,0.0602,0.84,0.0843,0.0,0.0,0
PSN-00020,IT,18-24,0,52.7,Essential,46.8,1,True,1,2,88.0,1988.0,22.59090909090909,1.0,2.0,5.0,166.0,11.0,300.0,20.0,465.0,0.371,0.0,0.0,0.0,0.0,0.0,1.0,0.0,512.0,0.0,3.0,1.0,0.0,1.0,13.0,2.0,1.0,0.0,0.0,0.0568,0.0,0.0341,0.0,0.0,0
PSN-00021,AU,18-24,0,52.3,Essential,42.4,1,True,1,2,163.0,4372.0,26.822085889570552,5.0,2.0,9.0,293.0,24.0,777.0,43.0,1244.0,0.6,54.980000000000004,0.0,0.0,34.99,19.99,2.0,27.490000000000002,167.0,0.0,7.0,1.0,0.0,3.0,70.0,1.0,0.0,0.0,0.0,0.0552,0.34,0.0429,0.6442,0.0,0
PSN-00022,ES,18-24,0,6.9,Essential,5.2,1,True,1,2,24.0,1355.0,56.458333333333336,1.0,11.0,5.0,323.0,12.0,720.0,21.0,1204.0,0.486,74.98,0.0,9.99,55.0,9.99,4.0,18.745,66.0,9.99,1.0,0.0,1.0,1.0,167.0,0.0,0.0,1.0,0.0,0.2083,3.12,0.0417,1.0,0.0,1
PSN-00023,DE,45+,0,22.1,Free,22.1,0,False,0,0,11.0,133.0,12.090909090909092,1.0,20.0,1.0,13.0,3.0,34.0,4.0,44.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909,0.0,0.0,0.0,,0
PSN-00024,DE,18-24,0,33.6,Essential,27.6,1,True,1,1,85.0,1605.0,18.88235294117647,1.0,2.0,5.0,128.0,12.0,261.0,19.0,380.0,0.371,34.99,0.0,0.0,34.99,0.0,1.0,34.99,63.0,34.99,1.0,0.0,0.0,1.0,23.0,1.0,0.0,0.0,0.0,0.0588,0.41,0.0118,1.0,0.0,0
PSN-00025,DE,18-24,0,57.9,Essential,47.1,1,True,1,3,367.0,22346.0,60.88828337874659,8.0,1.0,20.0,1576.0,53.0,4021.0,94.0,6144.0,1.571,0.0,0.0,0.0,0.0,0.0,1.0,0.0,583.0,0.0,22.0,1.0,3.0,7.0,20.0,2.0,1.0,0.0,0.0,0.0545,0.0,0.0599,0.6158,0.0,0
PSN-00026,JP,45+,1,31.7,Essential,19.8,1,True,0,1,178.0,5058.0,28.415730337078653,5.0,9.0,9.0,310.0,28.0,961.0,47.0,1435.0,0.886,64.97,0.0,29.979999999999997,34.99,0.0,3.0,21.656666666666666,238.0,0.0,13.0,0.0,1.0,5.0,23.0,4.0,0.0,2.0,0.0,0.0506,0.36,0.073,0.2135,0.0,1
PSN-00027,UK,18-24,1,47.7,Essential,40.9,1,True,1,2,546.0,44890.0,82.21611721611721,12.0,2.0,27.0,2712.0,77.0,7210.0,143.0,12321.0,1.257,209.93,0.0,49.980000000000004,129.97,29.979999999999997,9.0,23.325555555555557,47.0,4.99,186.0,10.0,23.0,12.0,7.0,17.0,2.0,2.0,0.0,0.0495,0.38,0.3407,0.641,0.0,1
PSN-00028,DE,35-44,0,67.9,Premium,59.1,3,True,1,3,112.0,5640.0,50.357142857142854,7.0,8.0,6.0,413.0,16.0,942.0,28.0,1472.0,0.457,124.94999999999999,0.0,29.979999999999997,64.99000000000001,29.979999999999997,8.0,15.618749999999999,135.0,0.0,37.0,3.0,5.0,6.0,20.0,3.0,2.0,2.0,0.0,0.0536,1.12,0.3304,0.4821,0.0,1
PSN-00029,US,25-34,0,82.4,Essential,79.7,1,True,0,3,61.0,1533.0,25.131147540983605,1.0,1.0,4.0,137.0,9.0,307.0,17.0,475.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,161.0,0.0,0.0,0.0,0.0,0.0656,0.0,0.0656,0.0,0.0,0
PSN-00030,US,25-34,0,83.7,Essential,76.1,1,True,1,1,37.0,839.0,22.675675675675677,1.0,23.0,2.0,52.0,6.0,156.0,9.0,215.0,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,375.0,0.0,0.0,0.0,0.0,0.0541,0.0,0.0541,0.0,0.0,0
PSN-00031,AU,35-44,1,9.8,Essential,9.6,1,True,1,3,116.0,8361.0,72.07758620689656,1.0,1.0,17.0,1540.0,42.0,3694.0,75.0,5817.0,1.229,39.980000000000004,0.0,19.98,20.0,0.0,3.0,13.326666666666668,132.0,0.0,16.0,0.0,2.0,1.0,10.0,4.0,0.0,2.0,0.0,0.1466,0.34,0.1379,1.0,0.0,1
PSN-00032,US,35-44,1,25.1,Extra,17.0,2,True,0,3,197.0,12194.0,61.898477157360404,9.0,0.0,12.0,1043.0,29.0,2192.0,52.0,3539.0,0.829,114.94,0.0,19.99,44.980000000000004,49.97,8.0,14.3675,137.0,0.0,36.0,1.0,3.0,9.0,3.0,5.0,2.0,1.0,0.0,0.0609,0.58,0.1827,0.4162,0.0,1
PSN-00033,JP,18-24,1,50.6,Extra,49.9,2,True,1,2,21.0,449.0,21.38095238095238,6.0,575.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.943,14.98,0.0,9.99,0.0,4.99,2.0,7.49,661.0,0.0,1.0,0.0,0.0,1.0,708.0,0.0,0.0,1.0,0.0,0.0,0.71,0.0476,0.619,1.0,1
PSN-00034,DE,45+,0,51.5,Free,51.5,0,False,0,0,113.0,2779.0,24.5929203539823,3.0,3.0,7.0,242.0,18.0,563.0,33.0,863.0,0.6,34.99,0.0,0.0,34.99,0.0,2.0,17.495,161.0,0.0,9.0,1.0,1.0,3.0,15.0,1.0,1.0,0.0,1.0,0.0619,0.31,0.0796,0.3274,,0
PSN-00035,US,45+,1,55.3,Free,55.3,0,False,0,0,230.0,16767.0,72.9,12.0,12.0,10.0,684.0,30.0,2148.0,56.0,3905.0,0.371,188.93,0.0,109.94999999999999,73.99000000000001,4.99,9.0,20.992222222222225,18.0,25.0,26.0,1.0,4.0,9.0,12.0,4.0,1.0,5.0,1.0,0.0435,0.82,0.113,0.3,,1
PSN-00036,ES,35-44,0,65.6,Extra,61.1,2,True,1,2,319.0,22614.0,70.89028213166144,4.0,1.0,18.0,1617.0,44.0,3301.0,80.0,5793.0,1.086,19.98,0.0,19.98,0.0,0.0,2.0,9.99,552.0,0.0,86.0,3.0,10.0,4.0,1.0,13.0,0.0,2.0,0.0,0.0564,0.06,0.2696,0.2633,0.0,1
PSN-00037,US,25-34,1,32.6,Free,32.6,0,False,0,0,88.0,3919.0,44.53409090909091,4.0,17.0,4.0,152.0,13.0,616.0,21.0,939.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,50.0,2.0,0.0,0.0,0.0,0.0455,0.0,0.0455,0.5682,,0
PSN-00038,ES,25-34,1,83.1,Free,83.1,0,False,0,0,205.0,17131.0,83.56585365853658,10.0,0.0,11.0,1045.0,30.0,2630.0,52.0,4309.0,0.686,79.98,0.0,49.980000000000004,30.0,0.0,4.0,19.995,125.0,0.0,33.0,0.0,4.0,10.0,2.0,1.0,1.0,2.0,0.0,0.0537,0.39,0.161,0.2098,,1
PSN-00039,BR,25-34,0,39.9,Extra,37.3,2,True,1,2,36.0,1339.0,37.19444444444444,5.0,0.0,2.0,82.0,5.0,221.0,9.0,354.0,0.143,14.98,0.0,0.0,0.0,14.98,2.0,7.49,358.0,0.0,1.0,0.0,0.0,1.0,138.0,0.0,0.0,0.0,0.0,0.0556,0.42,0.0278,0.5556,0.0,0
PSN-00040,US,13-17,0,16.6,Essential,8.7,1,True,1,2,99.0,3405.0,34.39393939393939,4.0,7.0,7.0,305.0,17.0,599.0,33.0,1069.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,1.0,3.0,7.0,4.0,0.0,0.0,0.0,0.0707,0.0,0.0909,0.0,0.0,0
PSN-00041,US,25-34,0,20.7,Free,20.7,0,False,0,0,14.0,204.0,14.571428571428571,1.0,0.0,1.0,18.0,3.0,57.0,5.0,83.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714,0.0,0.0,0.0,,0
PSN-00042,UK,25-34,1,57.4,Essential,55.7,1,True,1,1,58.0,1775.0,30.603448275862068,2.0,10.0,3.0,100.0,9.0,291.0,16.0,518.0,0.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,54.0,2.0,0.0,0.0,0.0,0.0517,0.0,0.0345,0.0,0.0,0
PSN-00043,UK,25-34,1,22.5,Extra,13.6,2,True,0,3,222.0,14383.0,64.78828828828829,7.0,1.0,14.0,1270.0,33.0,2524.0,57.0,3836.0,1.171,24.97,0.0,9.99,0.0,14.98,3.0,8.323333333333332,47.0,9.99,45.0,1.0,5.0,7.0,11.0,4.0,0.0,1.0,0.0,0.0631,0.11,0.2027,0.2793,0.0,1
PSN-00044,US,18-24,0,66.9,Essential,59.3,1,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PSN-00045,PL,25-34,0,66.6,Essential,58.1,1,True,1,1,59.0,1460.0,24.74576271186441,1.0,9.0,3.0,66.0,8.0,195.0,16.0,421.0,0.229,9.99,0.0,9.99,0.0,0.0,1.0,9.99,707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0508,0.17,0.0,1.0,0.0,1
PSN-00046,US,25-34,1,59.3,Free,59.3,0,False,0,0,86.0,2759.0,32.08139534883721,3.0,8.0,5.0,208.0,13.0,469.0,21.0,699.0,0.4,34.99,0.0,0.0,34.99,0.0,1.0,34.99,38.0,34.99,7.0,2.0,1.0,2.0,22.0,2.0,0.0,0.0,0.0,0.0581,0.41,0.0814,0.314,,0
PSN-00047,AU,25-34,1,82.7,Premium,80.3,3,True,1,2,376.0,22601.0,60.109042553191486,6.0,0.0,21.0,1643.0,53.0,3717.0,97.0,6190.0,1.286,74.98,0.0,39.99,34.99,0.0,3.0,24.993333333333336,192.0,0.0,67.0,1.0,6.0,6.0,2.0,14.0,1.0,1.0,1.0,0.0559,0.2,0.1782,0.7074,0.0,1
PSN-00048,US,45+,0,64.9,Free,64.9,0,False,0,0,12.0,346.0,28.833333333333332,2.0,28.0,1.0,37.0,3.0,112.0,4.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,377.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0833,0.4167,,0
PSN-00049,SE,25-34,0,22.5,Essential,14.7,1,True,1,2,283.0,19146.0,67.65371024734982,4.0,2.0,18.0,1774.0,44.0,3783.0,73.0,5342.0,1.6,34.97,0.0,0.0,0.0,34.97,3.0,11.656666666666666,317.0,0.0,73.0,3.0,6.0,4.0,2.0,11.0,0.0,0.0,0.0,0.0636,0.12,0.258,0.2226,0.0,0
PSN-00050,US,13-17,0,29.1,Essential,19.6,1,True,1,1,366.0,25755.0,70.3688524590164,5.0,0.0,20.0,1804.0,53.0,4313.0,93.0,6829.0,1.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,5.0,6.0,5.0,2.0,14.0,0.0,0.0,0.0,0.0546,0.0,0.1831,0.8279,0.0,0
PSN-00051,JP,13-17,0,60.3,Essential,55.3,1,True,1,2,467.0,53396.0,114.33832976445396,9.0,1.0,24.0,3598.0,70.0,10192.0,120.0,14908.0,1.943,254.91,0.0,9.99,149.98,94.94,15.0,16.994,43.0,0.0,139.0,8.0,18.0,9.0,1.0,20.0,4.0,1.0,1.0,0.0514,0.55,0.2976,0.5803,0.0,1
PSN-00052,JP,25-34,0,61.5,Essential,59.8,1,True,0,1,10.0,364.0,36.4,1.0,0.0,1.0,47.0,2.0,84.0,3.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0
PSN-00053,US,25-34,0,59.0,Essential,49.4,1,True,1,1,177.0,5083.0,28.717514124293785,3.0,0.0,10.0,300.0,26.0,780.0,45.0,1236.0,0.943,54.99,0.0,0.0,54.99,0.0,4.0,13.7475,199.0,0.0,17.0,0.0,1.0,3.0,17.0,4.0,1.0,0.0,0.0,0.0565,0.31,0.096,0.0,0.0,0
PSN-00054,CA,35-44,0,75.4,Essential,74.2,1,True,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
PSN-00055,US,18-24,0,72.6,Essential,64.0,1,True,1,2,84.0,2556.0,30.428571428571427,2.0,5.0,5.0,216.0,13.0,455.0,21.0,624.0,0.543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0595,0.0,0.0,0.5,0.0,0
PSN-00056,JP,13-17,0,12.5,Essential,11.6,1,True,1,2,58.0,2166.0,37.3448275862069,5.0,3.0,6.0,293.0,17.0,729.0,29.0,1129.0,0.6,64.97,0.0,0.0,34.99,29.979999999999997,5.0,12.994,120.0,0.0,4.0,0.0,0.0,3.0,25.0,2.0,2.0,0.0,0.0,0.1034,1.12,0.069,0.569,0.0,0
PSN-00057,JP,25-34,0,34.1,Free,34.1,0,False,0,0,151.0,5034.0,33.33774834437086,3.0,1.0,9.0,398.0,24.0,997.0,40.0,1428.0,0.914,19.99,0.0,19.99,0.0,0.0,1.0,19.99,548.0,0.0,10.0,0.0,2.0,3.0,67.0,1.0,0.0,1.0,0.0,0.0596,0.13,0.0662,1.0,,1
PSN-00058,DE,35-44,0,35.2,Essential,35.2,1,True,1,3,284.0,18470.0,65.03521126760563,8.0,0.0,16.0,1380.0,38.0,2929.0,73.0,5040.0,0.943,72.47,0.0,19.99,47.49,4.99,4.0,18.1175,254.0,0.0,29.0,1.0,2.0,8.0,0.0,7.0,0.0,1.0,0.0,0.0563,0.26,0.1021,0.6268,0.0,1
PSN-00059,US,45+,1,63.8,Free,63.8,0,False,0,0,348.0,23619.0,67.87068965517241,6.0,0.0,22.0,2218.0,54.0,4427.0,93.0,6654.0,1.514,139.91,0.0,0.0,69.98,69.93,10.0,13.991,12.0,39.980000000000004,79.0,1.0,5.0,6.0,5.0,13.0,1.0,0.0,1.0,0.0632,0.4,0.227,0.6782,,0
PSN-00060,US,35-44,1,22.4,Essential,22.1,1,True,1,3,80.0,2800.0,35.0,4.0,4.0,3.0,82.0,11.0,401.0,21.0,724.0,0.086,48.99,0.0,0.0,48.99,0.0,2.0,24.495,87.0,0.0,16.0,0.0,3.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0375,0.61,0.2,0.2625,0.0,0
PSN-00061,US,25-34,0,71.3,Essential,65.5,1,True,1,2,61.0,1803.0,29.557377049180328,3.0,11.0,3.0,101.0,8.0,261.0,15.0,465.0,0.2,34.99,0.0,0.0,34.99,0.0,1.0,34.99,394.0,0.0,9.0,1.0,2.0,3.0,110.0,0.0,0.0,0.0,0.0,0.0492,0.57,0.1475,0.623,0.0,0
PSN-00062,UK,35-44,0,14.3,Free,14.3,0,False,0,0,89.0,3945.0,44.325842696629216,3.0,11.0,7.0,344.0,19.0,865.0,34.0,1461.0,0.429,29.97,0.0,0.0,0.0,29.97,3.0,9.99,209.0,0.0,9.0,0.0,1.0,3.0,15.0,3.0,0.0,0.0,0.0,0.0787,0.34,0.1011,0.0,,0
PSN-00063,US,13-17,1,47.8,Essential,43.4,1,True,1,2,35.0,853.0,24.37142857142857,1.0,14.0,2.0,53.0,6.0,175.0,10.0,265.0,0.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,540.0,0.0,0.0,0.0,0.0,0.0571,0.0,0.0286,1.0,0.0,0
PSN-00064,IT,25-34,0,60.2,Free,60.2,0,False,0,0,131.0,5437.0,41.50381679389313,4.0,11.0,8.0,466.0,19.0,961.0,35.0,1596.0,0.6,34.99,0.0,0.0,34.99,0.0,1.0,34.99,540.0,0.0,10.0,1.0,0.0,4.0,215.0,0.0,0.0,0.0,0.0,0.0611,0.27,0.0763,0.0,,0
PSN-00065,JP,45+,0,30.0,Essential,28.6,1,True,1,1,62.0,2233.0,36.016129032258064,4.0,12.0,4.0,197.0,10.0,467.0,16.0,637.0,0.4,9.99,0.0,9.99,0.0,0.0,1.0,9.99,698.0,0.0,5.0,0.0,0.0,3.0,15.0,1.0,0.0,1.0,0.0,0.0645,0.16,0.0806,0.5806,0.0,1
PSN-00066,DE,25-34,0,54.0,Premium,42.6,3,True,1,2,109.0,5289.0,48.522935779816514,2.0,0.0,6.0,393.0,16.0,874.0,26.0,1222.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.055,0.0,0.0826,1.0,0.0,0
PSN-00067,UK,45+,0,64.6,Free,64.6,0,False,0,0,327.0,22491.0,68.77981651376147,9.0,1.0,18.0,1672.0,46.0,3667.0,84.0,5817.0,1.171,44.980000000000004,0.0,9.99,34.99,0.0,4.0,11.245000000000001,77.0,0.0,86.0,3.0,16.0,9.0,12.0,9.0,2.0,1.0,1.0,0.055,0.14,0.263,0.419,,1
PSN-00068,US,18-24,1,34.8,Essential,24.6,1,True,1,1,591.0,30753.0,52.035532994923855,8.0,0.0,29.0,1748.0,75.0,3807.0,139.0,6870.0,1.057,149.92000000000002,0.0,49.96,69.98,29.979999999999997,10.0,14.992,48.0,34.99,277.0,18.0,25.0,8.0,0.0,37.0,2.0,4.0,0.0,0.0491,0.25,0.4687,0.4873,0.0,1
PSN-00069,JP,18-24,0,32.0,Free,32.0,0,False,0,0,130.0,2984.0,22.953846153846154,3.0,0.0,8.0,237.0,20.0,538.0,30.0,753.0,0.829,39.99,0.0,39.99,0.0,0.0,1.0,39.99,412.0,0.0,11.0,0.0,0.0,3.0,9.0,2.0,0.0,1.0,0.0,0.0615,0.31,0.0846,1.0,,1
PSN-00070,US,25-34,1,40.6,Essential,35.9,1,True,1,2,431.0,25033.0,58.08120649651972,4.0,0.0,22.0,1549.0,59.0,3708.0,107.0,6444.0,1.257,0.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,0.0,85.0,6.0,11.0,4.0,7.0,9.0,1.0,0.0,1.0,0.051,0.0,0.1972,1.0,0.0,0
