player_id,dlc_propensity,propensity_tier,churn_probability,risk_tier,churn_flag,propensity_flag,action_quadrant
PSN-00028,0.8095231062046441,Very High,8.28578235648719e-06,Low Risk,0,1,Upsell
PSN-00029,0.026042792336262378,Low,2.6731559619736643e-06,Low Risk,0,0,Monitor
PSN-00030,0.04158499059311595,Low,2.395736005769247e-06,Low Risk,0,0,Monitor
PSN-00031,0.631417042512282,High,7.339591429288978e-06,Low Risk,0,1,Upsell
PSN-00032,0.7044207194110184,Very High,1.881733334818777e-05,Low Risk,0,1,Upsell
PSN-00033,0.6293697790559172,High,0.9999370656846632,Critical,1,1,Retain + Upsell
PSN-00034,0.13486796069539603,Low,0.0,Low Risk,0,0,Monitor
PSN-00035,0.9232877325725948,Very High,0.0,Low Risk,0,1,Upsell
PSN-00036,0.2529684066287446,Medium,9.20251181256479e-06,Low Risk,0,0,Monitor
PSN-00037,0.21313133415405286,Medium,0.0,Low Risk,0,0,Monitor
PSN-00038,0.8774940320113137,Very High,0.0,Low Risk,0,1,Upsell
PSN-00039,0.13199957244998686,Low,1.551979275962249e-05,Low Risk,0,0,Monitor
PSN-00040,0.07838442513444183,Low,1.0198289114216811e-05,Low Risk,0,0,Monitor
PSN-00041,0.013709998851575155,Low,0.0,Low Risk,0,0,Monitor
PSN-00042,0.052378086584628815,Low,1.3364031462470922e-05,Low Risk,0,0,Monitor
PSN-00043,0.6238851814107804,High,1.761556258926963e-05,Low Risk,0,1,Upsell
PSN-00044,0.011811370152498658,Low,0.2254064750634873,Medium Risk,0,0,Monitor
PSN-00045,0.06470899490350687,Low,3.3256365626176153e-05,Low Risk,0,0,Monitor
PSN-00046,0.1356496493993121,Low,0.0,Low Risk,0,0,Monitor
PSN-00047,0.885690296664928,Very High,2.5392118315049456e-06,Low Risk,0,1,Upsell
PSN-00048,0.04962800130944287,Low,0.0,Low Risk,0,0,Monitor
PSN-00049,0.21357869583348138,Medium,1.5621171072087667e-05,Low Risk,0,0,Monitor
PSN-00050,0.4798580626090777,High,1.2277158019072578e-05,Low Risk,0,1,Upsell
PSN-00051,0.9453347254900399,Very High,1.0925537878873572e-05,Low Risk,0,1,Upsell
PSN-00052,0.0248928936320297,Low,3.076388042595558e-05,Low Risk,0,0,Monitor
PSN-00053,0.10666108837109155,Low,1.756017839738081e-05,Low Risk,0,0,Monitor
PSN-00054,0.011571869108713417,Low,0.962246393938197,Critical,1,0,Retain
PSN-00055,0.05361857585352048,Low,1.0712088239786202e-05,Low Risk,0,0,Monitor
PSN-00056,0.25551748476921504,Medium,8.944700559088655e-06,Low Risk,0,0,Monitor
PSN-00057,0.1866456168983219,Medium,0.0,Low Risk,0,0,Monitor
PSN-00058,0.7867278711365278,Very High,1.027649160903852e-05,Low Risk,0,1,Upsell
PSN-00059,0.29315864655044743,Medium,0.0,Low Risk,0,0,Monitor
PSN-00060,0.1385973066820964,Low,1.1534091844602156e-05,Low Risk,0,0,Monitor
PSN-00061,0.16441123991420406,Medium,7.272058390964228e-06,Low Risk,0,0,Monitor
PSN-00062,0.049259511721130876,Low,0.0,Low Risk,0,0,Monitor
PSN-00063,0.016261972117209082,Low,1.2802841748592726e-05,Low Risk,0,0,Monitor
PSN-00064,0.11599775964670453,Low,0.0,Low Risk,0,0,Monitor
PSN-00065,0.2655976447638359,Medium,2.7801511113118826e-05,Low Risk,0,0,Monitor
PSN-00066,0.08101048325270419,Low,1.417101713223056e-05,Low Risk,0,0,Monitor
PSN-00067,0.8921921681350654,Very High,0.0,Low Risk,0,1,Upsell
PSN-00068,0.6296686591839545,High,1.569865614083002e-05,Low Risk,0,1,Upsell
PSN-00069,0.1741731648633127,Medium,0.0,Low Risk,0,0,Monitor
PSN-00070,0.3842206892073285,Medium,1.6253167531518594e-05,Low Risk,0,0,Monitor
PSN-00071,0.1416108670538739,Low,0.0,Low Risk,0,0,Monitor
PSN-00072,0.013313519164800806,Low,0.9998257614493166,Critical,1,0,Retain
PSN-00073,0.8414713160612097,Very High,7.153465491422772e-06,Low Risk,0,1,Upsell
PSN-00074,0.33271865882803275,Medium,9.617931848794276e-06,Low Risk,0,0,Monitor
PSN-00075,0.3781746061951293,Medium,6.2370439335535045e-06,Low Risk,0,0,Monitor
PSN-00076,0.6325257528601904,High,1.1520997938799716e-05,Low Risk,0,1,Upsell
PSN-00077,0.09266115098235364,Low,1.3535693046643574e-05,Low Risk,0,0,Monitor
PSN-00078,0.10246032621135502,Low,2.2051512367287675e-05,Low Risk,0,0,Monitor
PSN-00079,0.10103989197026252,Low,0.0,Low Risk,0,0,Monitor
PSN-00080,0.2508756250512551,Medium,0.0,Low Risk,0,0,Monitor
PSN-00081,0.25317012292252195,Medium,0.0,Low Risk,0,0,Monitor
PSN-00082,0.02355546058423319,Low,0.0,Low Risk,0,0,Monitor
PSN-00083,0.3501538381357594,Medium,2.365988824708123e-06,Low Risk,0,0,Monitor
PSN-00084,0.9732854750729294,Very High,3.178297466941547e-05,Low Risk,0,1,Upsell
PSN-00085,0.5417058675886952,High,8.263713234428077e-06,Low Risk,0,1,Upsell
PSN-00086,0.0962046853751975,Low,4.355728902672733e-05,Low Risk,0,0,Monitor
PSN-00087,0.11618576464230541,Low,0.9999449042949234,Critical,1,0,Retain
PSN-00088,0.4802280319999331,High,1.9420809117600804e-05,Low Risk,0,1,Upsell
PSN-00089,0.11671803675595847,Low,1.2488796059918164e-05,Low Risk,0,0,Monitor
PSN-00090,0.4792473636821772,High,9.710190550199953e-06,Low Risk,0,1,Upsell
PSN-00091,0.03144190550893709,Low,0.9997719122980956,Critical,1,0,Retain
PSN-00092,0.2205906410106355,Medium,1.610025805093386e-05,Low Risk,0,0,Monitor
PSN-00093,0.25153332935098394,Medium,1.0888706597223256e-05,Low Risk,0,0,Monitor
PSN-00094,0.9378128109122512,Very High,0.0,Low Risk,0,1,Upsell
PSN-00095,0.2558580699826323,Medium,0.0,Low Risk,0,0,Monitor
PSN-00096,0.21285898375510676,Medium,0.9999702663493854,Critical,1,0,Retain
PSN-00097,0.8259083159722876,Very High,1.0853485575718183e-05,Low Risk,0,1,Upsell
PSN-00098,0.9055237016218908,Very High,7.539257249221415e-06,Low Risk,0,1,Upsell
PSN-00099,0.061308732732991235,Low,0.9990500578736484,Critical,1,0,Retain
PSN-00100,0.018836005055845848,Low,4.5841084594823934e-05,Low Risk,0,0,Monitor
PSN-00101,0.02333261207509207,Low,1.3634414651642114e-05,Low Risk,0,0,Monitor
PSN-00102,0.8463989965106938,Very High,5.800917197628657e-06,Low Risk,0,1,Upsell
PSN-00103,0.13318287716191168,Low,0.999975373559144,Critical,1,0,Retain
PSN-00104,0.06905591510220295,Low,1.1926968715845455e-05,Low Risk,0,0,Monitor
PSN-00105,0.022761177859316778,Low,0.9999313038687532,Critical,1,0,Retain
PSN-00106,0.2580617074792785,Medium,0.0,Low Risk,0,0,Monitor
PSN-00107,0.8220344493350994,Very High,7.128350681636675e-06,Low Risk,0,1,Upsell
PSN-00108,0.9324143014054955,Very High,1.681711154911733e-05,Low Risk,0,1,Upsell
PSN-00109,0.014035470601798116,Low,0.978124708554432,Critical,1,0,Retain
PSN-00110,0.22096547191664856,Medium,1.6664952883793082e-05,Low Risk,0,0,Monitor
PSN-00111,0.011539875147273197,Low,0.972794579232078,Critical,1,0,Retain
PSN-00112,0.8963246007010817,Very High,1.5369957220090638e-05,Low Risk,0,1,Upsell
PSN-00113,0.12442411865581743,Low,1.1291050314777648e-05,Low Risk,0,0,Monitor
PSN-00114,0.5492383063067557,High,0.0,Low Risk,0,1,Upsell
PSN-00115,0.026294837470041535,Low,0.0,Low Risk,0,0,Monitor
PSN-00116,0.04087761095723444,Low,5.881566164659228e-06,Low Risk,0,0,Monitor
PSN-00117,0.036422884571064136,Low,0.9997913488679604,Critical,1,0,Retain
PSN-00118,0.1747852135097541,Medium,1.6749595672887126e-05,Low Risk,0,0,Monitor
PSN-00119,0.1500182915826399,Medium,7.452097338078572e-06,Low Risk,0,0,Monitor
PSN-00120,0.14003730220837912,Low,0.0,Low Risk,0,0,Monitor
PSN-00121,0.10792950513747367,Low,2.6931389036394303e-05,Low Risk,0,0,Monitor
PSN-00122,0.8476583569113312,Very High,7.034612713694975e-06,Low Risk,0,1,Upsell
PSN-00123,0.16829565590644127,Medium,0.0,Low Risk,0,0,Monitor
PSN-00124,0.9716557483365764,Very High,1.0008827906344271e-05,Low Risk,0,1,Upsell
PSN-00125,0.009584731573962101,Low,0.9785916652799383,Critical,1,0,Retain
PSN-00126,0.624868740817141,High,8.595803787573918e-06,Low Risk,0,1,Upsell
PSN-00127,0.9088133570416952,Very High,1.977835725791763e-06,Low Risk,0,1,Upsell
PSN-00128,0.8490774334388584,Very High,1.4798412714244778e-05,Low Risk,0,1,Upsell
PSN-00129,0.1810126926790826,Medium,0.0,Low Risk,0,0,Monitor
PSN-00130,0.8422705363923694,Very High,8.095231300124122e-06,Low Risk,0,1,Upsell
PSN-00131,0.013439312470459609,Low,0.2037908663411814,Medium Risk,0,0,Monitor
PSN-00132,0.1174819657949002,Low,1.1328124945040156e-05,Low Risk,0,0,Monitor
PSN-00133,0.0505432968244242,Low,1.5272846568552427e-05,Low Risk,0,0,Monitor
PSN-00134,0.189436008839649,Medium,1.5286477605642862e-05,Low Risk,0,0,Monitor
PSN-00135,0.2911028734896309,Medium,1.9178737106666843e-05,Low Risk,0,0,Monitor
PSN-00136,0.6766459100216644,Very High,2.716709934211208e-05,Low Risk,0,1,Upsell
PSN-00137,0.13317077610796946,Low,1.481550038133014e-05,Low Risk,0,0,Monitor
PSN-00138,0.06986026107345492,Low,1.897462396348365e-05,Low Risk,0,0,Monitor
PSN-00139,0.8184283998268418,Very High,6.701814902959319e-07,Low Risk,0,1,Upsell
PSN-00140,0.05331866004839523,Low,8.112055864836001e-06,Low Risk,0,0,Monitor
PSN-00141,0.25188010933704885,Medium,1.285220772593758e-05,Low Risk,0,0,Monitor
PSN-00142,0.08515943886197361,Low,0.0,Low Risk,0,0,Monitor
PSN-00143,0.08562622471903618,Low,3.989950459805756e-05,Low Risk,0,0,Monitor
PSN-00144,0.1359881249828638,Low,9.745622911480635e-06,Low Risk,0,0,Monitor
PSN-00145,0.05370001000286829,Low,0.9995181228623872,Critical,1,0,Retain
PSN-00146,0.4316273820254181,High,0.0,Low Risk,0,1,Upsell
PSN-00147,0.0937778018019512,Low,1.4645114398823898e-05,Low Risk,0,0,Monitor
PSN-00148,0.1285960819495686,Low,0.0,Low Risk,0,0,Monitor
PSN-00149,0.801239468049684,Very High,7.217259896837908e-06,Low Risk,0,1,Upsell
PSN-00150,0.027242746268247173,Low,1.047859671573659e-05,Low Risk,0,0,Monitor
PSN-00151,0.07703331581259529,Low,0.0,Low Risk,0,0,Monitor
PSN-00152,0.8135287507419329,Very High,1.0300958839869071e-05,Low Risk,0,1,Upsell
PSN-00153,0.061331055342332845,Low,1.565609396997246e-05,Low Risk,0,0,Monitor
PSN-00154,0.4040778708596085,High,0.0,Low Risk,0,1,Upsell
PSN-00155,0.08921549671981038,Low,0.0,Low Risk,0,0,Monitor
PSN-00156,0.72172575533294,Very High,1.0386743354815072e-05,Low Risk,0,1,Upsell
PSN-00157,0.13871646045171604,Low,0.0,Low Risk,0,0,Monitor
PSN-00158,0.01733704818268687,Low,0.9997370578568552,Critical,1,0,Retain
PSN-00159,0.18901894235782463,Medium,7.377771458486379e-06,Low Risk,0,0,Monitor
PSN-00160,0.4894428402229719,High,2.042858937150236e-05,Low Risk,0,1,Upsell
PSN-00161,0.017373942466477024,Low,0.0,Low Risk,0,0,Monitor
PSN-00162,0.4885562337874339,High,1.3256975047131498e-06,Low Risk,0,1,Upsell
PSN-00163,0.920351568415702,Very High,1.060156655930404e-05,Low Risk,0,1,Upsell
PSN-00164,0.05581469937231405,Low,1.0115406994350724e-05,Low Risk,0,0,Monitor
PSN-00165,0.07652003081232274,Low,0.0,Low Risk,0,0,Monitor
PSN-00166,0.06428717960212575,Low,0.0,Low Risk,0,0,Monitor
PSN-00167,0.05305658962387313,Low,1.1896050142606758e-05,Low Risk,0,0,Monitor
PSN-00168,0.3775533022253872,Medium,5.153499041891739e-06,Low Risk,0,0,Monitor
PSN-00169,0.11467906976060327,Low,3.306103449821404e-05,Low Risk,0,0,Monitor
PSN-00170,0.7093399271267969,Very High,0.0,Low Risk,0,1,Upsell
PSN-00171,0.16536571779298942,Medium,0.999963651216456,Critical,1,0,Retain
PSN-00172,0.6779330867280328,Very High,2.7708377595501917e-05,Low Risk,0,1,Upsell
PSN-00173,0.025984923944818026,Low,0.9978866891297672,Critical,1,0,Retain
PSN-00174,0.8262687400208067,Very High,8.244347574776922e-06,Low Risk,0,1,Upsell
PSN-00175,0.9809555805414335,Very High,9.048051304308716e-06,Low Risk,0,1,Upsell
PSN-00176,0.19450081756150567,Medium,0.0,Low Risk,0,0,Monitor
PSN-00177,0.41057365690636627,High,1.2207438057978695e-05,Low Risk,0,1,Upsell
PSN-00178,0.03256957547166282,Low,0.0,Low Risk,0,0,Monitor
PSN-00179,0.016127754157076176,Low,0.9998417804370858,Critical,1,0,Retain
PSN-00180,0.015778379135095028,Low,0.0,Low Risk,0,0,Monitor
PSN-00181,0.014567962631525957,Low,0.1470552188480608,Low Risk,0,0,Monitor
PSN-00182,0.04916101163531807,Low,0.9999451878355308,Critical,1,0,Retain
PSN-00183,0.7018049151955458,Very High,7.96278758629511e-06,Low Risk,0,1,Upsell
PSN-00184,0.032087121340788956,Low,0.0,Low Risk,0,0,Monitor
PSN-00185,0.24823255285792706,Medium,9.57273635005723e-06,Low Risk,0,0,Monitor
PSN-00186,0.061118797643221826,Low,8.381563824816049e-07,Low Risk,0,0,Monitor
PSN-00187,0.8349979415272648,Very High,0.0,Low Risk,0,1,Upsell
PSN-00188,0.009846197862648459,Low,0.990946575167067,Critical,1,0,Retain
PSN-00189,0.8512078369190398,Very High,4.429695699976419e-06,Low Risk,0,1,Upsell
PSN-00190,0.2867439756318703,Medium,0.0,Low Risk,0,0,Monitor
PSN-00191,0.8653279202699895,Very High,2.428750798457566e-06,Low Risk,0,1,Upsell
PSN-00192,0.6240816800512137,High,7.707900999259736e-06,Low Risk,0,1,Upsell
PSN-00193,0.015328140629461038,Low,0.0001657940288202,Low Risk,0,0,Monitor
PSN-00194,0.7539764707077276,Very High,7.91878248628938e-06,Low Risk,0,1,Upsell
PSN-00195,0.7383002854990037,Very High,8.710896806246175e-06,Low Risk,0,1,Upsell
PSN-00196,0.1315974255593234,Low,0.0,Low Risk,0,0,Monitor
PSN-00197,0.01299057834305783,Low,0.0,Low Risk,0,0,Monitor
PSN-00198,0.3815485739292969,Medium,0.0,Low Risk,0,0,Monitor
PSN-00199,0.4168094099240772,High,2.0193017598911187e-05,Low Risk,0,1,Upsell
PSN-00200,0.04450082172207386,Low,1.299591356208482e-05,Low Risk,0,0,Monitor
PSN-00201,0.07230157729194958,Low,2.1328624708467803e-05,Low Risk,0,0,Monitor
PSN-00202,0.06133619535709372,Low,0.0,Low Risk,0,0,Monitor
PSN-00203,0.6766200277860563,Very High,7.509304606815451e-06,Low Risk,0,1,Upsell
PSN-00204,0.45805457607185973,High,9.63974314889014e-06,Low Risk,0,1,Upsell
PSN-00205,0.010936063542186694,Low,0.9743834591471184,Critical,1,0,Retain
PSN-00206,0.6465120414592416,High,3.321929077408793e-05,Low Risk,0,1,Upsell
PSN-00207,0.20720908583568667,Medium,0.0,Low Risk,0,0,Monitor
PSN-00208,0.9221332381802482,Very High,1.7112341688279038e-05,Low Risk,0,1,Upsell
PSN-00209,0.1405251163997631,Low,0.9999125296937538,Critical,1,0,Retain
PSN-00210,0.06498448795942235,Low,5.777251450642571e-06,Low Risk,0,0,Monitor
PSN-00211,0.04600472094958417,Low,1.6281932631544057e-05,Low Risk,0,0,Monitor
PSN-00212,0.10009374150809984,Low,6.7474585816309936e-06,Low Risk,0,0,Monitor
PSN-00213,0.0634174821962968,Low,0.0,Low Risk,0,0,Monitor
PSN-00214,0.06021196052229842,Low,0.9998775657543956,Critical,1,0,Retain
PSN-00215,0.031751145780067436,Low,0.9999083146855182,Critical,1,0,Retain
PSN-00216,0.8099841036298673,Very High,3.1032759195555825e-05,Low Risk,0,1,Upsell
PSN-00217,0.259078595526791,Medium,0.9999529397327536,Critical,1,0,Retain
PSN-00218,0.011175740528985009,Low,0.7138947035517829,Critical,1,0,Retain
PSN-00219,0.03755969303843295,Low,7.814724909537319e-07,Low Risk,0,0,Monitor
PSN-00220,0.8780216983797007,Very High,3.018976568459071e-06,Low Risk,0,1,Upsell
PSN-00221,0.03452981256269632,Low,9.977994464494893e-06,Low Risk,0,0,Monitor
PSN-00222,0.36491542569797697,Medium,0.0,Low Risk,0,0,Monitor
PSN-00223,0.1972268672643433,Medium,0.0,Low Risk,0,0,Monitor
PSN-00224,0.6446934854692262,High,2.9793375734576035e-05,Low Risk,0,1,Upsell
PSN-00225,0.01356254026488338,Low,0.9775416338307916,Critical,1,0,Retain
PSN-00226,0.968461559845433,Very High,1.4282975224335413e-05,Low Risk,0,1,Upsell
PSN-00227,0.12417847010398092,Low,0.0,Low Risk,0,0,Monitor
PSN-00228,0.14486241765779886,Low,1.094723462912783e-05,Low Risk,0,0,Monitor
PSN-00229,0.393275550479178,Medium,1.928696084310939e-05,Low Risk,0,0,Monitor
PSN-00230,0.9788215094962343,Very High,7.624160499427187e-07,Low Risk,0,1,Upsell
PSN-00231,0.518584900282373,High,1.1154432699821532e-05,Low Risk,0,1,Upsell
PSN-00232,0.7321666062764576,Very High,0.0,Low Risk,0,1,Upsell
PSN-00233,0.11705036849480596,Low,1.5220699587086905e-05,Low Risk,0,0,Monitor
PSN-00234,0.7561646877147717,Very High,0.0,Low Risk,0,1,Upsell
PSN-00235,0.01161209394120519,Low,0.9628242942760415,Critical,1,0,Retain
PSN-00236,0.11098370682720415,Low,1.42650854032667e-05,Low Risk,0,0,Monitor
PSN-00237,0.021432289602672676,Low,1.1673723205909516e-05,Low Risk,0,0,Monitor
PSN-00238,0.9708730098841898,Very High,7.657566374754725e-06,Low Risk,0,1,Upsell
PSN-00239,0.7870045653471808,Very High,1.0032312658851203e-05,Low Risk,0,1,Upsell
PSN-00240,0.04759476898300839,Low,2.248104238544041e-05,Low Risk,0,0,Monitor
PSN-00241,0.01460465415588727,Low,0.0,Low Risk,0,0,Monitor
PSN-00242,0.21956048801172665,Medium,2.844893343862565e-05,Low Risk,0,0,Monitor
PSN-00243,0.18604904797062832,Medium,0.0,Low Risk,0,0,Monitor
PSN-00244,0.29526390696014415,Medium,1.967880372568774e-05,Low Risk,0,0,Monitor
PSN-00245,0.014287772625688866,Low,0.0,Low Risk,0,0,Monitor
PSN-00246,0.12605027859326207,Low,1.0514007829861018e-05,Low Risk,0,0,Monitor
PSN-00247,0.44776315365479313,High,1.6253167531518594e-05,Low Risk,0,1,Upsell
PSN-00248,0.13196999543449392,Low,0.9998618479019834,Critical,1,0,Retain
PSN-00249,0.2651941447707699,Medium,9.084814250475786e-06,Low Risk,0,0,Monitor
PSN-00250,0.07997572494891306,Low,0.0,Low Risk,0,0,Monitor
PSN-00251,0.018154559442031485,Low,0.999385651893764,Critical,1,0,Retain
PSN-00252,0.011043064305894454,Low,0.9945111744149262,Critical,1,0,Retain
PSN-00253,0.261737540833947,Medium,7.99502705816925e-06,Low Risk,0,0,Monitor
PSN-00254,0.9235299333560585,Very High,0.0,Low Risk,0,1,Upsell
PSN-00255,0.06703543664797317,Low,0.0,Low Risk,0,0,Monitor
PSN-00256,0.034003046233685,Low,0.9998726546625012,Critical,1,0,Retain
PSN-00257,0.6723355054410532,Very High,6.945098607765853e-07,Low Risk,0,1,Upsell
PSN-00258,0.9762697645073034,Very High,9.815571635303168e-06,Low Risk,0,1,Upsell
PSN-00259,0.04320947110602383,Low,8.068076084907624e-06,Low Risk,0,0,Monitor
PSN-00260,0.5240385855381579,High,0.0,Low Risk,0,1,Upsell
PSN-00261,0.20324653040877183,Medium,5.075730678430315e-06,Low Risk,0,0,Monitor
PSN-00262,0.10920175283665014,Low,0.0,Low Risk,0,0,Monitor
PSN-00263,0.9941136079847153,Very High,0.9998568103711029,Critical,1,1,Retain + Upsell
PSN-00264,0.02873806846197376,Low,0.9998063748680917,Critical,1,0,Retain
PSN-00265,0.6397673241691502,High,2.872509818602901e-05,Low Risk,0,1,Upsell
PSN-00266,0.32570812987497205,Medium,1.1508340170139094e-05,Low Risk,0,0,Monitor
PSN-00267,0.37484206807637493,Medium,6.636988312881886e-06,Low Risk,0,0,Monitor
PSN-00268,0.9290579647468451,Very High,1.3400513287894915e-05,Low Risk,0,1,Upsell
PSN-00269,0.7710420192379726,Very High,1.9313046521232687e-05,Low Risk,0,1,Upsell
PSN-00270,0.9446686899179497,Very High,2.058839525935426e-06,Low Risk,0,1,Upsell
PSN-00271,0.25497708828567817,Medium,0.0,Low Risk,0,0,Monitor
PSN-00272,0.8863673346131388,Very High,1.2393651089886456e-05,Low Risk,0,1,Upsell
PSN-00273,0.21046425570859925,Medium,9.547384580616004e-07,Low Risk,0,0,Monitor
PSN-00274,0.07468002246236943,Low,0.0,Low Risk,0,0,Monitor
PSN-00275,0.08008352613326365,Low,0.0,Low Risk,0,0,Monitor
PSN-00276,0.6131602740523406,High,0.0,Low Risk,0,1,Upsell
PSN-00277,0.16767200540158111,Medium,1.4459690426852968e-05,Low Risk,0,0,Monitor
PSN-00278,0.02083252317692587,Low,0.9997891474263124,Critical,1,0,Retain
PSN-00279,0.012219874941216968,Low,0.0,Low Risk,0,0,Monitor
PSN-00280,0.9540816136279103,Very High,2.233506136428762e-05,Low Risk,0,1,Upsell
PSN-00281,0.012089830048793623,Low,0.97343993375672,Critical,1,0,Retain
PSN-00282,0.3498346025933174,Medium,1.6242902724689567e-05,Low Risk,0,0,Monitor
PSN-00283,0.7563325225486088,Very High,1.6036498493719706e-06,Low Risk,0,1,Upsell
PSN-00284,0.028335110107147024,Low,0.9998860159887778,Critical,1,0,Retain
PSN-00285,0.15323996388284955,Medium,0.0,Low Risk,0,0,Monitor
PSN-00286,0.9815068763613354,Very High,2.9863616718002224e-06,Low Risk,0,1,Upsell
PSN-00287,0.06714446381256353,Low,0.0,Low Risk,0,0,Monitor
PSN-00288,0.18658281875293187,Medium,2.18455725817944e-05,Low Risk,0,0,Monitor
PSN-00289,0.8375295454915244,Very High,4.843471759570717e-06,Low Risk,0,1,Upsell
PSN-00290,0.014351739586790934,Low,0.0002869281100933,Low Risk,0,0,Monitor
PSN-00291,0.9852998142170062,Very High,1.977731303409187e-05,Low Risk,0,1,Upsell
PSN-00292,0.014459052910932661,Low,0.0788203288837786,Low Risk,0,0,Monitor
PSN-00293,0.23801510350987573,Medium,9.737822899021584e-06,Low Risk,0,0,Monitor
PSN-00294,0.012046450731191321,Low,0.0,Low Risk,0,0,Monitor
PSN-00295,0.013036884402424401,Low,0.0,Low Risk,0,0,Monitor
PSN-00296,0.2701612687456821,Medium,7.931355503453878e-06,Low Risk,0,0,Monitor
PSN-00297,0.055519817000631244,Low,5.3863787150862235e-06,Low Risk,0,0,Monitor
PSN-00298,0.009222894703222542,Low,0.9998898480307112,Critical,1,0,Retain
PSN-00299,0.5428245108774712,High,4.89625963200534e-06,Low Risk,0,1,Upsell
PSN-00300,0.02656382498963448,Low,0.0,Low Risk,0,0,Monitor
PSN-00301,0.6940379005117423,Very High,1.375101240875423e-05,Low Risk,0,1,Upsell
PSN-00302,0.1673646006176221,Medium,1.3382164760188907e-05,Low Risk,0,0,Monitor
PSN-00303,0.01340333566291263,Low,0.9846893006701174,Critical,1,0,Retain
PSN-00304,0.011432691242980469,Low,0.9678752032088912,Critical,1,0,Retain
PSN-00305,0.1456475447445265,Low,1.407539647457886e-05,Low Risk,0,0,Monitor
PSN-00306,0.1354727313802417,Low,1.597494402676569e-05,Low Risk,0,0,Monitor
PSN-00307,0.1929974315115561,Medium,7.103795654516138e-06,Low Risk,0,0,Monitor
PSN-00308,0.7599068431884398,Very High,3.02674000210148e-05,Low Risk,0,1,Upsell
PSN-00309,0.6470642183999846,High,2.1704135197901808e-05,Low Risk,0,1,Upsell
PSN-00310,0.1461548095876323,Low,3.5771217137058015e-06,Low Risk,0,0,Monitor
PSN-00311,0.08277792393391101,Low,2.6691837463661213e-05,Low Risk,0,0,Monitor
PSN-00312,0.23586975812570113,Medium,1.0459482751719238e-05,Low Risk,0,0,Monitor
PSN-00313,0.07011235277564348,Low,2.3818795851506134e-05,Low Risk,0,0,Monitor
PSN-00314,0.2347685941562274,Medium,0.0,Low Risk,0,0,Monitor
PSN-00315,0.7373050278592376,Very High,2.8453349036786053e-05,Low Risk,0,1,Upsell
PSN-00316,0.1729861178325155,Medium,1.5382160952020046e-05,Low Risk,0,0,Monitor
PSN-00317,0.01908048591343971,Low,0.0,Low Risk,0,0,Monitor
PSN-00318,0.8633928436395741,Very High,6.28541003907519e-06,Low Risk,0,1,Upsell
PSN-00319,0.07518237100650142,Low,4.1112194765635506e-05,Low Risk,0,0,Monitor
PSN-00320,0.012105931990795016,Low,0.6178933261074406,Critical,1,0,Retain
PSN-00321,0.13492695299501803,Low,0.0,Low Risk,0,0,Monitor
